loc_nombre,loc_cpostal,prv_nombre
El Porvenir,4405,Salta
El Potrero,4415,Salta
El Potrero,4415,Salta
El Potrero,4193,Salta
El Potrero,4405,Salta
El Potrero De Diaz,4421,Salta
El Prado,4400,Salta
El Prado,4432,Salta
El Pucara,4405,Salta
El Puestito,4198,Salta
El Puyil,4405,Salta
El Quebrachal,4452,Salta
El Quemado,4423,Salta
El Quemado,4530,Salta
El Quemado,4198,Salta
El Quimilar Carboncito,4534,Salta
El Recreo,4427,Salta
El Retiro,4550,Salta
El Rey,4434,Salta
El Rodeo,4415,Salta
El Rodeo,4415,Salta
El Rosal,4405,Salta
El Salto,4434,Salta
El Sapo,4425,Salta
El Sauce,4432,Salta
El Sauzal,4440,Salta
El Simbolar,4423,Salta
El Simbolar,4421,Salta
El Soldadito,4535,Salta
El Sunchal,4415,Salta
El Sunchal,4126,Salta
El Sunchal,4430,Salta
El Tabacal,4533,Salta
El Tala Est R De Los Llanos,4126,Salta
El Talar,4554,Salta
El Tandil,4198,Salta
El Tapial,4633,Salta
El Tartagal,4554,Salta
El Timbo,4405,Salta
El Tipal,4423,Salta
El Toro,4409,Salta
El Trigal,4415,Salta
El Tunal,4446,Salta
El Tunalito,4535,Salta
El Vallecito,4440,Salta
El Vencido,4452,Salta
El Yacon,4535,Salta
El Yeso,4449,Salta
El Zanjon,4434,Salta
El Zapallar,4430,Salta
El Zapallar,4430,Salta
El Zapallo,4534,Salta
Eltunal,4407,Salta
Embarcacion,4550,Salta
Emboscada,4554,Salta
Encrucijada,5231,Salta
Encrucijada De Tastil,4409,Salta
Entre Rios,4430,Salta
Escalchi,4417,Salta
Escoipe,4421,Salta
Espinillo,4449,Salta
Esquina,4449,Salta
Esquina,4419,Salta
Estacion Cachiñal,4411,Salta
Estacion Zuviria,4421,Salta
Estancia Vieja,4434,Salta
Esteban De Urizar,4537,Salta
Esteco Embarcadero Fcgb,4440,Salta
Estela,4400,Salta
Federacion,4198,Salta
Finca Armonia,4444,Salta
Finca Belgrano,4415,Salta
Finca Camino A Colon,4403,Salta
Finca Camino Vallisios,4403,Salta
Finca Colon,4403,Salta
Finca El Carmen,4425,Salta
Finca El Carmen,4425,Salta
Finca El Colegio,4403,Salta
Finca La China,4434,Salta
Finca La Rosa,4427,Salta
Finca La Toma,4538,Salta
Finca Mision Zenta,4448,Salta
Finca Mision Zenta,4530,Salta
Finca Rocca,4444,Salta
Finca Santiago,4633,Salta
Floresta,4452,Salta
Foguista J F Juarez,4444,Salta
Fortin Belgrano,4530,Salta
Fortin Frias,4535,Salta
Frontera 4,4560,Salta
Frontera 5,4560,Salta
Frontera Tres,4560,Salta
Fuerte Alto,4417,Salta
Fuerte El Pito,4452,Salta
Fuerte Quemado,4430,Salta
Gallinato,4432,Salta
Gaona,4452,Salta
General Alvarado,4401,Salta
General Ballivian,4552,Salta
General Enrique Mosconi,4562,Salta
General Guemes,4430,Salta
General Pizarro,4449,Salta
Gobernador Manuel Sola,4409,Salta
Gobernador Saravia,4409,Salta
Gonzalez,4434,Salta
Grandes Pastos,4411,Salta
Guachipas,4425,Salta
Gualfin,4419,Salta
Gualiana,4421,Salta
Guamachi,4560,Salta
Hickman,4554,Salta
Higueras,4633,Salta
Hipolito Yrigoyen,4533,Salta
Hito 1,4561,Salta
Salar De Hombre Muerto,4419,Salta
Horcones,4198,Salta
Hornillos,4651,Salta
Hosteria Juramento,4440,Salta
Huaicondo,4409,Salta
Huayra Huasy,4415,Salta
Huerta,4651,Salta
Huguerillas,4400,Salta
Humaita,4401,Salta
Humanas,4419,Salta
Incachuli,4413,Salta
Incahuasi,4409,Salta
Incamayo,4409,Salta
Ingeniero Maury,4409,Salta
Ingenio San Isidro,4432,Salta
Ingenio San Martin,4533,Salta
Iruya,4633,Salta
Isla De Cañas,4531,Salta
Isla De La Candelaria,4403,Salta
Isonza,4427,Salta
Ituyuro,4566,Salta
Jacimana,4427,Salta
Jacimana,4427,Salta
Jeronimo Matorras,4537,Salta
Joaquin V Gonzalez,4448,Salta
Juncal,4411,Salta
Juncalito,4413,Salta
Juntas De San Antonio,4530,Salta
Juramento,4434,Salta
Kilometro 1088,4448,Salta
Kilometro 1094,4430,Salta
Kilometro 1102,4432,Salta
Kilometro 1104,4449,Salta
Kilometro 1125,4401,Salta
Kilometro 1129,4400,Salta
Kilometro 1152,4452,Salta
Kilometro 1156,4403,Salta
Kilometro 1172,4407,Salta
Kilometro 1176 300,4421,Salta
Kilometro 1280,4534,Salta
Kilometro 1281,4534,Salta
Kilometro 1291,4534,Salta
Kilometro 1298,4533,Salta
Kilometro 1306 Fcgb,4550,Salta
Kilometro 1369,4413,Salta
Kilometro 1373,4413,Salta
Kilometro 1398,4562,Salta
Kilometro 1424,4413,Salta
Kilometro 1448,4564,Salta
La Aguadita,4440,Salta
La Arcadia,4427,Salta
La Arcadia,4427,Salta
La Argentina,4421,Salta
La Armonia,4427,Salta
La Armonia,4421,Salta
La Armonia,4444,Salta
La Asuncion,4126,Salta
La Asuncion,4430,Salta
La Banda,4427,Salta
La Banda,4190,Salta
La Bodega,4421,Salta
La Bodeguita,4421,Salta
La Cañada,4427,Salta
La Calavera,4423,Salta
La Cancha,4535,Salta
La Candelaria,4126,Salta
La Candelaria,4126,Salta
La Carretera,4446,Salta
La Casualidad Mina,4413,Salta
La China,4561,Salta
La Cienaga Capital,4193,Salta
La Cieneguita,4141,Salta
La Costa,4425,Salta
La Costa,4421,Salta
La Costosa,4440,Salta
La Cruz,4400,Salta
La Cruz,4193,Salta
La Cuestita Anta,4434,Salta
La Cuestita Metan,4434,Salta
La Curva,4554,Salta
La Defensa,4430,Salta
La Entrada,4554,Salta
La Esperanza,4448,Salta
La Esperanza,4423,Salta
La Esperanza,4415,Salta
La Esperanza,4535,Salta
La Esquinita,4535,Salta
La Estela,4405,Salta
La Estrella,4537,Salta
La Falda,4403,Salta
La Falda,4651,Salta
La Fama,4403,Salta
La Firmeza,4193,Salta
La Florida,4425,Salta
La Fortuna,4550,Salta
La Guardia,4423,Salta
La Herradura,4415,Salta
La Hoyada,4198,Salta
La Huerta,4633,Salta
La Isla,4401,Salta
La Isla,4400,Salta
La Lagunilla,4400,Salta
La Lomita,4448,Salta
La Manga,4446,Salta
La Maravilla,4126,Salta
La Maravilla,4430,Salta
La Margarita,4423,Salta
La Maroma,4423,Salta
La Matilde,4190,Salta
La Merced,4421,Salta
La Merced,4427,Salta
La Montaña,4400,Salta
La Montaña,4535,Salta
La Mora,4554,Salta
La Ofelia,4432,Salta
La Oliva,4432,Salta
La Pajita,4193,Salta
La Palata,4198,Salta
La Pampa,4425,Salta
